dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,native_language_1,native_language_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
111,2,3,3,4,2,2.6,2,2,1,1,2.2,3.6,2.4,3,4.11111111111111,3.66666666666667,2,2,same-gender female
112,3,3,4,4,2.2,1.8,2.6,1.4,1,1,2.4,4,3.4,3.4,2.66666666666667,3.44444444444444,1,1,same-gender male
113,3,3,5,5,1.2,1.4,1.6,1.2,1,1,3.6,3.6,2.8,3.4,2.44444444444444,1.66666666666667,1,1,same-gender male
114,3,3,5,5,1.6,1.8,1.8,1.8,1,2,2.2,3.6,4,3.4,3.88888888888889,3.33333333333333,2,1,mixed
115,3,3,3,3,1.8,3.6,2.2,3,1,1,2.8,3.2,3,4.2,4,5.11111111111111,1,1,same-gender male
116,3,3,4,4,1.8,1.6,2.2,2.2,1,1,3.6,4,3.2,3,2.11111111111111,4.55555555555556,2,2,same-gender female
117,3,2,5,5,2.8,1.2,1.4,1.2,1,1,3.8,3.8,3.8,3.8,3.33333333333333,3.66666666666667,1,2,mixed
119,1,3,3,5,3.4,1.2,2.2,1.6,1,1,3.4,3,2.6,3.2,4.55555555555556,4.66666666666667,1,2,mixed
120,1,2,3,3,1.4,1,1.8,1.2,1,1,3.4,4,3.2,4.4,3,3,2,2,same-gender female
121,1,1,4,4,3.6,3.8,3.2,3.6,1,1,3.6,3,3.8,3.2,3.66666666666667,3.55555555555556,1,1,same-gender male
122,1,1,5,5,2.4,2.4,2.4,2.2,1,1,3.8,3.8,3.4,3,3.11111111111111,4.88888888888889,2,1,mixed
123,2,2,5,5,2.8,1.6,2.2,2,1,1,4.8,3.2,4.4,3.2,1.66666666666667,3.44444444444444,2,2,same-gender female
124,2,3,5,5,2,2.2,2.2,1.8,1,1,5,4.6,3.4,3,2.77777777777778,2.33333333333333,2,2,same-gender female
125,3,3,4,5,1.6,1.2,1.4,1.4,1,1,4.6,3.8,3.2,3.2,2.44444444444444,1.22222222222222,2,2,same-gender female
126,3,3,5,5,2.4,2.2,2.2,2.2,1,1,3.4,3.6,3,3.8,3.44444444444444,3.55555555555556,1,2,mixed
127,2,2,3,3,1.8,1.8,1.6,1.8,1,1,3.6,4.4,4,3.4,3,3.33333333333333,1,1,same-gender male
128,1,1,4,4,1,1.8,1.4,1.8,1,1,4,3.4,3.4,2.8,2.55555555555556,1.66666666666667,1,2,mixed
129,1,1,4,4,2.2,2,2.4,2.6,1,1,4.8,2.4,4,4,3.88888888888889,2.66666666666667,1,2,mixed
130,3,3,5,5,3,3,2.6,1.8,1,1,3.4,2.8,3,3,4,3.22222222222222,2,2,same-gender female
131,2,1,3,3,1.4,1.8,1.4,1.8,1,2,3.8,4.2,3.2,3.8,1.88888888888889,4.33333333333333,2,2,same-gender female
132,3,3,4,4,2.2,3,2.2,3,1,1,3.6,4,3.6,4,2.77777777777778,4,1,1,same-gender male
133,1,1,4,5,1.2,2,1.4,2,1,2,4,3.6,4.2,4.6,3.11111111111111,3.88888888888889,1,1,same-gender male
134,3,3,3,4,2,1.2,2.2,2,1,1,3.4,3.4,3.4,2.8,3.66666666666667,3.22222222222222,2,2,same-gender female
136,2,2,5,5,1.2,1.6,2.2,2,1,1,3,3,3,2,2.66666666666667,3.66666666666667,2,1,mixed
140,1,2,5,5,1.4,1.6,2,1.8,1,1,6,3.2,5.6,3,4.33333333333333,2.66666666666667,2,2,same-gender female
141,2,2,3,5,1.2,2.6,2.6,2.6,1,2,3.6,3.6,3.6,3.4,3.66666666666667,4.33333333333333,1,1,same-gender male
142,3,3,5,5,1.8,1.4,2.4,2.6,1,1,4.2,4.2,4.2,4.4,2.55555555555556,2.88888888888889,1,2,mixed
143,3,3,5,5,1.4,2,1.6,1.8,1,1,4.4,4.4,3.8,3.4,2.66666666666667,4.44444444444444,1,2,mixed
144,1,2,5,5,1.8,1.2,1.4,2,2,2,3,5.6,4,3.6,3.77777777777778,2.77777777777778,2,1,mixed
145,1,3,3,3,2.8,2,2.2,1.8,1,1,3.4,4,3.4,3.4,2.22222222222222,3.66666666666667,1,1,same-gender male
146,2,2,4,4,3.2,2.8,2.6,2.6,1,1,4,4.4,3.6,4,4.88888888888889,3.66666666666667,2,1,mixed
147,3,3,5,4,1.8,1.6,2.4,2,1,1,3.6,3.4,3.4,3,3.11111111111111,3,2,2,same-gender female
148,3,3,4,4,3,1.4,3,2,1,1,4.2,3.2,3.6,3.2,4.66666666666667,3.33333333333333,2,1,mixed
150,3,3,4,4,1,1.6,1.4,2.6,1,1,4.4,4.6,3.8,4.8,2.33333333333333,4.55555555555556,2,2,same-gender female
153,2,2,4,4,2,2,2,3.2,1,1,4.2,3.4,3.2,3,3.55555555555556,3.66666666666667,2,2,same-gender female
154,3,3,2,3,2.8,2.4,2.4,3.8,1,1,3,4.4,3.4,5.2,4.66666666666667,4.66666666666667,1,1,same-gender male
155,1,1,4,4,1.8,2.8,2.6,1.8,2,2,4.4,4,3,2.6,3.77777777777778,2,2,2,same-gender female
156,1,1,3,3,1.8,2.4,2.2,2.4,1,1,4,4.2,3.8,4,3.55555555555556,2.66666666666667,2,2,same-gender female
157,1,1,5,4,1,1.6,1.4,2,1,1,4,4,3.4,3.6,2.88888888888889,2.44444444444444,2,2,same-gender female
158,3,3,5,3,1.2,3,1.2,3,1,1,3.8,3.2,2.4,3,2,3.11111111111111,2,1,mixed
